word,base
gminie,gmin
Opolszczyźnie,Opolszczyzna
stanowi,stanowić
Opornych,oporny
może,móc
uszy,ucho
pracy,praca
poznała,poznać
wieloletnia,wieloletni
była,być
gminy,gmina
emerytowana,emerytować
przyszła,przyjść
urzędu,urząd
krzycząc,krzyczeć
kazał,kazać
jej,on
posłuchała,posłuchać
wytargał,wytargać
ją,on
uszy,ucho
Przerażona,przerażony
wołając,wołać
pomocy,pomoc
uciekła,uciec
Oberwało,oberwać
pracującej,pracować
urzędzie,urząd
Barbarze,Barbar
która,który
zajścia,zajście
zeznawała,zeznawać
szefowi,szef
procesie,proces
dostała,dostać
mnie,ja
zwolnił,zwolnić
miał,mieć
zgody,zgoda
rady,rada
powiatu,powiat
której,który
jestem,być
radną,radny
Poszła,pójść
sądu,sąd
nakazał,nakazać
mi,ja
Pracę,praca
stracił,stracić
wójta,wójt
wstawił,wstawić
Barbarą,Barbara
finiszu,finisz
obu,oba
kampanii,Kampania
wyborczych,wyborczy
miały,mieć
wydarzenia,wydarzenie
które,który
wpłynęły,wpłynąć
emocje,emocja
wyborców,wyborca
wybuchy,wybuch
bomb,bomba
pociągach,pociąg
Madrycie,Madryt
wyniku,wynik
których,który
zginęło,zginąć
osób,osoba
zostało,zostać
rannych,ranny
znalezienie,znaleźć
atrap,atrapa
bomb,bomba
Warszawie,Warszawa
Dworcu,dworzec
Centralnym,centralny
metrze,metro
spowodowało,spowodować
sparaliżowanie,sparaliżować
godzin,godzina
ruchu,Ruch
Warszawie,Warszawa
Kampanie,Kampania
wyborcze,wyborczy
zakończyły,zakończyć
przypadku,przypadek
Hiszpanii,Hiszpania
konserwatywnego,konserwatywny
prawicowego,prawicowy
premiera,premier
przegrał,przegrać
pięcioma,pięć
punktami,punkt
procentowymi,procentowy
lewicową,lewicowy
partią,Partia
wyniku,wynik
wyborów,wybory
władzę,władza
objął,objąć
prezydenckie,prezydencki
wygrał,wygrać
ze,z
znaczną,znaczny
przewagą,przewaga
ośmiu,osiem
punktów,punkt
procentowych,procentowy
pierwszej,pierwszy
turze,tura
jego,on
był,być
prowadzeniu,prowadzenie
uważa,uważać
przyczyną,przyczyna
porażki,porażka
było,być
wprowadzenie,wprowadzić
opinii,opinia
publicznej,publiczny
autorstwa,autorstwo
zamachów,zamach
Madrycie,Madryt
starał,starać
hiszpańskie,hiszpański
zamachów,zamach
dokonała,dokonać
terroryści,terrorysta
muzułmańscy,muzułmański
Kaidy,kaid
Obarczenie,obarczyć
winą,wina
było,być
wygodniejsze,wygodny
rządu,rząd
prawicy,prawica
ze,z
względu,wzgląd
jej,on
twardą,twardy
postawę,postawa
baskijskich,baskijski
separatystów,separatysta
wskazówki,wskazówka
obarczające,obarczać
winą,wina
islamskich,islamski
terrorystów,terrorysta
były,być
bardziej,bardzo
rękę,ręka
opozycji,opozycja
socjalistycznej,socjalistyczny
która,który
wzywała,wzywać
wycofania,wycofać
wojsk,wojsko
hiszpańskich,hiszpański
Iraku,Irak
poinformował,poinformować
prasę,prasa
wszystkie,wszystek
dane,dana
sposobie,sposób
zarządzania,zarządzać
kryzysem,kryzys
bombowym,bombowy
zostały,zostać
usunięte,usunąć
komputerów,komputer
rządowych,rządowy
oddaniem,oddać
władzy,władza
premiera,premier
wskazuje,wskazywać
obie,oba
wersje,wersja
ta,ten
wskazująca,wskazywać
ta,ten
wskazująca,wskazywać
były,być
równym,równy
stopniu,stopień
kłamliwe,kłamliwy
służyły,służyć
politycznej,polityczny
rozgrywce,rozgrywka
lewicą,lewica
prawicą,prawica
lata,rok
masakrze,masakra
Madrycie,Madryt
wyjaśniono,wyjaśnić
jakiego,jaki
materiału,materiał
wybuchowego,wybuchowy
użyto,użyć
zamachów,zamach
